June 28th 2014
Michael R. Gordon ,13445,1,221,2026
Eric Schmitt,13445,1,221,2026
Helene Cooper,13325,1,260,1885
Thomas Erdbrink,12455,1,179,1954
Monica Davey,12390,1,280,1638
Jon Mooallem,11870,1,159,1897
Steven Erlanger,11670,2,189,1767
Thomas L. Friedman,11215,1,184,1691
Josh Barro,11170,1,140,1814
David Firestone,11075,1,150,1765
Tony Horwitz,10930,1,185,1631
Emily Steel,10920,2,232,1488
Louie Lazar,10840,1,125,1793
Alissa J. Rubin,10455,3,165,1596
Rod Nordland ,10455,2,165,1596
Kenan Malik,9965,1,123,1624
David M. Herszenhorn,9795,2,241,1236
Andrew Higgins ,9795,1,241,1236
Annie Lowrey,9680,1,156,1468
Katrin Bennhold ,9560,1,89,1645
Alan Cowell,9560,1,89,1645
Paul Greenberg,8515,1,62,1517
Catherine Saint Louis,8470,1,172,1178
Gretchen Reynolds,8295,1,159,1182
Matthew Goldstein,8205,1,53,1482
John Coates,7725,1,90,1275
Arbara Dafoe Whitehead,7695,1,148,1095
Kevin Carey,7505,1,134,1099
Adam Nagourney,7500,2,144,1068
Linda Greenhouse,7430,1,123,1117
Mark Bittman,7260,1,153,993
Mona Eltahawy,7255,1,96,1163
Emmarie Huetteman,7170,1,41,1311
Joseph Luzzi,7035,1,137,996
En Hubbard ,6925,1,116,1037
Ceylan Yeginsu,6925,1,116,1037
Kirk W. Johnson,6660,1,130,942
Simon Winder,6355,1,99,974
David Gelles,6310,1,130,872
Claire Cain Miller,6295,1,139,842
Michael M. Grynbaum,6240,1,199,651
Neal K. Katyal,5810,1,93,883
Robert F. Worth,5785,1,117,806
Khaled Al-Qazzaz,5290,1,137,647
Rod Nordland,5280,4,100,756
Pete Wells,5200,1,113,701
Francisco Goldman,5120,1,93,745
Sam Sifton,5020,2,132,608
Steven Greenhouse,4970,1,43,865
Elizabeth A. Harris ,4970,1,43,865

30 days
Paul Krugman,339845,9,4354,54907
The Editorial Board,253055,14,3583,39862
Charles M. Blow,232590,5,2641,38595
Gail Collins,223820,5,2054,38602
David Brooks,221130,7,2489,36759
Eric Schmitt,172710,7,2525,26967
Jonathan Weisman,120745,3,1529,19562
Maureen Dowd,115775,3,1371,19042
Adam Liptak,101365,5,1629,15386
John Schwartz,93430,2,1148,15242
Jonathan Martin,90605,1,935,15316
Adam Liptak ,89805,2,1253,14202
Suadad Al-Salhy ,88710,4,1449,13395
Charlie Savage ,83755,2,1268,12947
Sam Borden,83370,8,1774,11352
Laurie Goodstein,71710,6,1326,10364
Tim Arango,71445,6,1181,10746
Frank Bruni,65445,3,843,10560
Adam Davidson,61930,1,1273,8567
Timothy Egan,57340,3,795,9083
Alissa J. Rubin,56185,5,971,8324
Peter Baker ,55810,1,841,8639
Annie Lowrey,54625,2,661,8942
Michael R. Gordon ,54300,2,892,8184
Richard A. Oppel Jr. ,50210,2,743,7813
Mark Bittman,49710,3,894,7260
Thomas L. Friedman,48890,4,723,7609
Christine Porath,48765,1,410,8483
Tony Schwartz ,48765,1,410,8483
Jack Healy,48485,3,661,7714
Ross Douthat,46350,2,622,7404
Andrew W. Lehren,46305,2,787,6900
Maria Konnikova,43660,2,612,6876
Michelle Obama,40035,1,584,6255
Michael Paulson,38375,3,605,5860
Jennifer Medina,37415,1,740,5263
David Leonhardt,36895,4,635,5474
Neil Irwin,36840,4,558,5694
Steven Greenhouse,36450,2,338,6276
Charlie Savage,34315,3,649,4916
Eric Schmitt ,34315,3,649,4916
Natalie Kitroeff,33210,1,717,4491
Rod Nordland ,32835,4,626,4689
Roger Cohen,31750,1,301,5447
Gretchen Reynolds,31430,6,580,4546
Rick Gladstone,31260,2,531,4659
Linda Greenhouse,31245,2,397,5058
Matt Flegenheimer,29050,1,335,4805
William K. Rashbaum ,29050,1,335,4805
Kate Zernike,29050,1,335,4805
Julie Schumacher,28965,1,432,4497
Enedict Carey,28725,1,567,4044
Peggy Orenstein,28375,1,247,4934
Nicholas Kristof,28320,2,387,4503
Matt Apuzzo,28200,1,349,4593
Michael R. Gordon,27570,6,468,4110
Paul Tough,27310,1,482,4016
Constance Rosenblum,27180,1,551,3783
Margalit Fox,26210,2,321,4279
Pam Belluck,25805,2,397,3970
Enjamin Weiser,25770,1,427,3873
Dionne Searcey,25490,2,348,4054
Abby Goodnough,25490,1,443,3769
Laurence H. Tribe,25380,1,317,4125
Jan Hoffman,25270,2,404,3842
Richard Pérez-Peña,25005,2,437,3690
Henry Petroski,24790,1,297,4067
Henry M. Paulson Jr.,24210,1,268,4038
Julia Preston ,24135,1,492,3351
Randal C. Archibold,24135,1,492,3351
Derb Carter,22940,1,232,3892
T. M. Luhrmann,22925,1,315,3640
David S. Joachim,22745,3,370,3439
Julia Scott,22620,1,404,3312
Matthew Rosenberg,22530,1,359,3429
Pauline W. Chen,22170,1,407,3213
M.D.,22170,1,407,3213
James Risen ,21970,1,457,3023
Laura Poitras,21970,1,457,3023
N. Gregory Mankiw,21305,1,53,4102
Enjamin Mueller,21255,1,280,3411
Javier C. Hernández,21220,2,381,3101
Shaila Dewan,21125,1,291,3352
Julia Moskin,21010,2,332,3206
Jody Rosen,20885,1,313,3238
Jesse Rothstein,20850,1,298,3276
Alissa J. Rubin ,20540,4,343,3079
Steve Lohr,19860,2,229,3285
Anahad O'Connor,19825,4,371,2852
Jacques Leslie,19275,1,270,3045
Coral Davenport,17905,2,332,2585
Frances Robles,17775,2,278,2721
Campbell Robertson ,17775,1,278,2721
Jim Rutenberg,17290,1,212,2822
Kim Severson,16925,1,386,2227
Joe Nocera,16315,2,266,2465
Motoko Rich,15615,1,293,2244
Alan Flippen,15245,2,58,2875
Fernanda Santos,15195,2,279,2202
Steven Simon,14695,1,186,2381
