Timothy Egan, 57340
Alissa J. Rubin, 56185
Peter Baker , 55810
Annie Lowrey, 54625
Michael R. Gordon , 54300
Richard A. Oppel Jr. , 50210
Mark Bittman, 49710
Thomas L. Friedman, 48890
Christine Porath, 48765
Tony Schwartz , 48765
Jack Healy, 48485
Ross Douthat, 46350
Andrew W. Lehren, 46305
Maria Konnikova, 43660
Michelle Obama, 40035
Michael Paulson, 38375
Jennifer Medina, 37415
David Leonhardt, 36895
Neil Irwin, 36840
Steven Greenhouse, 36450
Charlie Savage, 34315
Eric Schmitt , 34315
Natalie Kitroeff, 33210
Rod Nordland , 32835
Roger Cohen, 31750
Gretchen Reynolds, 31430
Rick Gladstone, 31260
Linda Greenhouse, 31245
Matt Flegenheimer, 29050
William K. Rashbaum , 29050
Kate Zernike, 29050
Julie Schumacher, 28965
Enedict Carey, 28725
Peggy Orenstein, 28375
Nicholas Kristof, 28320
Matt Apuzzo, 28200
Michael R. Gordon, 27570
Paul Tough, 27310
Constance Rosenblum, 27180
Margalit Fox, 26210
Pam Belluck, 25805
Enjamin Weiser, 25770
Dionne Searcey, 25490
Abby Goodnough, 25490
Laurence H. Tribe, 25380
Jan Hoffman, 25270
Richard Pérez-Peña, 25005
Henry Petroski, 24790
Henry M. Paulson Jr., 24210
Julia Preston , 24135
Randal C. Archibold, 24135
Derb Carter, 22940
T. M. Luhrmann, 22925
David S. Joachim, 22745
Julia Scott, 22620
Matthew Rosenberg, 22530
Pauline W. Chen, 22170
M.D., 22170
James Risen , 21970
Laura Poitras, 21970
N. Gregory Mankiw, 21305
Enjamin Mueller, 21255
Javier C. Hernández, 21220
Shaila Dewan, 21125
Julia Moskin, 21010
Jody Rosen, 20885
Jesse Rothstein, 20850
Alissa J. Rubin , 20540
Steve Lohr, 19860
Anahad O'Connor, 19825
Jacques Leslie, 19275
Coral Davenport, 17905
Frances Robles, 17775
Campbell Robertson , 17775
Jim Rutenberg, 17290
Kim Severson, 16925
Joe Nocera, 16315
Motoko Rich, 15615
Alan Flippen, 15245
Fernanda Santos, 15195
Steven Simon, 14695
